id,item
0,Avokádo
1,Balkánský sýr
2,Brambory
3,Celer
4,Čerstvá pažitka
5,Červená řepa
6,Česnek
7,Cherry rajčata
8,Cibule
9,Cibulová nať
10,Citron
11,Cizrna
12,Cuketa
13,Cukr
14,Dijonská hořčice
15,Gothaj
16,Hrášek
17,Jablko
18,Kmín
19,Kvasný ocet
20,Ledový salát
21,Majonéza
22,Med
23,Mletá paprika
24,Mrkev
25,Nakládané okurky
26,Olivový olej
27,Olomoucký syreček
28,Paprika
29,Pepř
30,Petržel
31,Plnotučná hořčice
32,Pomeranč
33,Řapíkatý celer
34,Ředkvičky
35,Salám Junior
36,Šalotka
37,Slunečnicový olej
38,Šunka
39,Tatarská omáčka
40,Uzené maso
41,Vejce
42,Vinný ocet